Person ID,First name,Last name,Party,Division,URI
11042,Madonna,Jarrett,Australian Labor Party,Brisbane,https://www.openaustralia.org.au/mp/madonna_jarrett/brisbane
11043,Alice,Jordan-Baird,Australian Labor Party,Gorton,https://www.openaustralia.org.au/mp/alice_jordan-baird/gorton
10350,Barnaby,Joyce,Pauline Hanson's One Nation Party,New England,https://www.openaustralia.org.au/mp/barnaby_joyce/new_england
10352,Bob,Katter,Katter's Australian Party,Kennedy,https://www.openaustralia.org.au/mp/bob_katter/kennedy
10907,Ged,Kearney,Australian Labor Party,Cooper,https://www.openaustralia.org.au/mp/ged_kearney/cooper
11019,Simon,Kennedy,Liberal Party,Cook,https://www.openaustralia.org.au/mp/simon_kennedy/cook
10861,Matt,Keogh,Australian Labor Party,Burt,https://www.openaustralia.org.au/mp/matt_keogh/burt
10887,Peter,Khalil,Australian Labor Party,Wills,https://www.openaustralia.org.au/mp/peter_khalil/wills
10368,Catherine,King,Australian Labor Party,Ballarat,https://www.openaustralia.org.au/mp/catherine_king/ballarat
10884,Madeleine,King,Australian Labor Party,Brand,https://www.openaustralia.org.au/mp/madeleine_king/brand
10789,Michelle,Landry,National Party,Capricornia,https://www.openaustralia.org.au/mp/michelle_landry/capricornia
10981,Tania,Lawrence,Australian Labor Party,Hasluck,https://www.openaustralia.org.au/mp/tania_lawrence/hasluck
10967,Jerome,Laxale,Australian Labor Party,Bennelong,https://www.openaustralia.org.au/mp/jerome_laxale/bennelong
10978,Dai,Le,Independent,Fowler,https://www.openaustralia.org.au/mp/dai_le/fowler
10888,Julian,Leeser,Liberal Party,Berowra,https://www.openaustralia.org.au/mp/julian_leeser/berowra
10746,Andrew,Leigh,Australian Labor Party,Fenner,https://www.openaustralia.org.au/mp/andrew_leigh/fenner
11000,Sam,Lim,Australian Labor Party,Tangney,https://www.openaustralia.org.au/mp/sam_lim/tangney
10890,David,Littleproud,National Party,Maranoa,https://www.openaustralia.org.au/mp/david_littleproud/maranoa
10418,Richard,Marles,Australian Labor Party,Corio,https://www.openaustralia.org.au/mp/richard_marles/corio
10999,Zaneta,Mascarenhas,Australian Labor Party,Swan,https://www.openaustralia.org.au/mp/zaneta_mascarenhas/swan
10960,Kristy,McBain,Australian Labor Party,Eden-Monaro,https://www.openaustralia.org.au/mp/kristy_mcbain/eden-monaro
10864,Emma,McBride,Australian Labor Party,Dobell,https://www.openaustralia.org.au/mp/emma_mcbride/dobell
10743,Michael,McCormack,National Party,Riverina,https://www.openaustralia.org.au/mp/michael_mccormack/riverina
10932,Melissa,McIntosh,Liberal Party,Lindsay,https://www.openaustralia.org.au/mp/melissa_mcintosh/lindsay
10976,Zoe,McKenzie,Liberal Party,Flinders,https://www.openaustralia.org.au/mp/zoe_mckenzie/flinders
10968,Louise,Miller-Frost,Australian Labor Party,Boothby,https://www.openaustralia.org.au/mp/louise_miller-frost/boothby
10733,Rob,Mitchell,Australian Labor Party,McEwen,https://www.openaustralia.org.au/mp/rob_mitchell/mcewen
